[28-04-21 03:34] [INFO] - Start with ms_apr with train
[28-04-21 03:34] [INFO] - Using dataset from E:\zy_\SLAM\MS-Transformer\datasets\7Scenes
[28-04-21 03:34] [INFO] - Using label file from GTPose/7Scenes_train_val/all_7scenes_train.csv
[28-04-21 03:34] [INFO] - Running with configuration : 
	 batch_size: 8
	 equalize_scenes: False
	 num_scenes: 7
	 learnable: True
	 backbone_out_dim: 1280
	 backbone_next_out: 1024
	 s_x: 0.0
	 s_q: -3.0
	 lr: 0.0001
	 norm: 2
	 weight_decay: 0.0001
	 eps: 1e-10
	 lr_scheduler_gamma: 0.1
	 lr_scheduler_step_size: 10
	 n_epochs: 30
	 dropout: 0.1
	 n_freq_print: 5
	 n_freq_checkpoint: 10
	 n_workers: 4
	 device_id: cuda:0
[28-04-21 03:35] [INFO] - [Batch-211/Epoch-1] running camera pose loss: 0.902, camera pose error: 1.24[m], 40.88[deg]
[28-04-21 03:35] [INFO] - [Batch-216/Epoch-1] running camera pose loss: 0.893, camera pose error: 1.06[m], 28.04[deg]
[28-04-21 03:35] [INFO] - [Batch-221/Epoch-1] running camera pose loss: 0.890, camera pose error: 1.06[m], 37.71[deg]
[28-04-21 03:35] [INFO] - [Batch-226/Epoch-1] running camera pose loss: 0.886, camera pose error: 1.01[m], 35.54[deg]
[28-04-21 03:35] [INFO] - [Batch-231/Epoch-1] running camera pose loss: 0.881, camera pose error: 0.72[m], 25.58[deg]
[28-04-21 03:35] [INFO] - [Batch-236/Epoch-1] running camera pose loss: 0.877, camera pose error: 1.11[m], 34.61[deg]
[28-04-21 03:35] [INFO] - [Batch-241/Epoch-1] running camera pose loss: 0.874, camera pose error: 0.98[m], 41.34[deg]
[28-04-21 03:35] [INFO] - [Batch-246/Epoch-1] running camera pose loss: 0.869, camera pose error: 1.08[m], 28.54[deg]
[28-04-21 03:35] [INFO] - [Batch-251/Epoch-1] running camera pose loss: 0.865, camera pose error: 0.86[m], 28.43[deg]
[28-04-21 03:35] [INFO] - [Batch-256/Epoch-1] running camera pose loss: 0.858, camera pose error: 1.16[m], 38.66[deg]
[28-04-21 03:35] [INFO] - [Batch-261/Epoch-1] running camera pose loss: 0.851, camera pose error: 0.87[m], 38.92[deg]
[28-04-21 03:35] [INFO] - [Batch-266/Epoch-1] running camera pose loss: 0.850, camera pose error: 0.89[m], 26.12[deg]
[28-04-21 03:35] [INFO] - [Batch-271/Epoch-1] running camera pose loss: 0.846, camera pose error: 0.90[m], 31.68[deg]
[28-04-21 03:35] [INFO] - [Batch-276/Epoch-1] running camera pose loss: 0.842, camera pose error: 0.87[m], 23.42[deg]
[28-04-21 03:35] [INFO] - [Batch-281/Epoch-1] running camera pose loss: 0.835, camera pose error: 1.08[m], 38.94[deg]
[28-04-21 03:35] [INFO] - [Batch-286/Epoch-1] running camera pose loss: 0.833, camera pose error: 1.12[m], 31.61[deg]
[28-04-21 03:35] [INFO] - [Batch-291/Epoch-1] running camera pose loss: 0.833, camera pose error: 1.08[m], 39.54[deg]
